company,phone,email,website,address,city,state,rating,reviews,lead_score,tier
Desert Epoxy Solutions,(480) 555-1101,info@desertepoxy.com,https://desertepoxy.com,,Tempe,AZ,4.9,83,95,
Valley Metallic Epoxy Specialists,(480) 555-1505,info@valleymetallic.com,https://valleymetallic.com,,Tempe,AZ,4.9,94,95,
Tempe Garage Coatings,(480) 555-1303,quote@tempegaragecoatings.com,https://tempegaragecoatings.com,,Tempe,AZ,4.8,72,90,
AZ Polyurea Floor Coatings,(480) 555-1606,contact@azpolyurea.com,https://azpolyurea.com,,Tempe,AZ,4.6,38,90,
Maricopa Decorative Concrete,(480) 555-1909,bids@maricopadecorative.com,https://maricopadecorative.com,,Tempe,AZ,4.7,45,90,
Sonoran Surface Prep Inc.,(480) 555-1404,bids@sonoransurface.com,https://sonoransurface.com,,Tempe,AZ,4.5,29,88,
Cactus Concrete Resurfacing,(480) 555-1707,service@cactusconcrete.com,https://cactusconcrete.com,,Tempe,AZ,4.4,23,85,
Southwest Concrete & Polish,(480) 555-1202,hello@swconcrete.com,https://swconcrete.com,,Tempe,AZ,4.7,56,75,
Sun Devil Industrial Floors,(480) 555-1808,info@sundevilfloors.com,https://sundevilfloors.com,,Tempe,AZ,4.8,61,75,
Tempe Flake & Chip Floor Systems,(480) 555-2010,quote@tempeflakefloors.com,https://tempeflakefloors.com,,Tempe,AZ,4.5,17,67,
Superior Epoxy Floors,,,,,Tempe,AZ,5,0,55,
Two Brothers Epoxy Flooring,,,,,Tempe,AZ,4.9,0,55,
Clean Air Epoxy,,,,,Tempe,AZ,5,0,55,
Epoxy Flooring Phoenix,,,,,Tempe,AZ,4.9,0,55,
Quality Epoxy,,,,,Tempe,AZ,5,0,55,
Marvelous Epoxy Flooring,,,,,Tempe,AZ,5,0,55,
Sun Valley Epoxy - Residential Epoxy Flooring,,,,,Tempe,AZ,5,0,55,
Ultimate Concrete Coatings & Epoxy Flooring,,,,,Tempe,AZ,4.6,0,55,
Arizona Valley Epoxy,,,,,Tempe,AZ,5,0,55,
Epoxy Werx - Epoxy Garage Floors,,,,,Tempe,AZ,5,0,55,
Epoxy Strong Phoenix,,,,,Tempe,AZ,5,0,55,
Orange Door Custom Coatings - Epoxy Flooring & Painting,,,,,Tempe,AZ,4.7,0,55,
AZ Luxe Epoxy,,,,,Tempe,AZ,5,0,55,
Easy Epoxy,,,,,Tempe,AZ,5,0,55,
State 48 Epoxy,,,,,Tempe,AZ,5,0,55,
Dialed In Epoxy Systems LLC,,,,,Tempe,AZ,4.9,0,55,
MR Epoxy,,,,,Tempe,AZ,5,0,55,
Elite Epoxy,,,,,Tempe,AZ,4.7,0,55,
Brilliant Epoxy Flooring Inc,,,,,Tempe,AZ,4.9,0,55,
Concrete Repairman® Foundation Repair,,,,,Tempe,AZ,4.9,0,55,
AZ Polished Concrete,,,,,Tempe,AZ,4.6,0,55,
Premier Concrete Resurfacing LLC,,,,,Tempe,AZ,4.9,0,55,
Flatline Concrete Grinding,,,,,Tempe,AZ,5,0,55,
Polished Concrete Contractor,,,,,Tempe,AZ,4.9,0,55,
Decorative Concrete Services LLC,,,,,Tempe,AZ,5,0,55,
Armor-Kote Garage Floors,,,,,Tempe,AZ,5,0,50,
Precision Garage Works,,,,,Tempe,AZ,5,0,50,
Guardian Garage Floors,,,,,Tempe,AZ,5,0,50,
Garage Pros 1,,,,,Tempe,AZ,5,0,50,
The Garage Floor Company Arizona,,,,,Tempe,AZ,4.9,0,50,
GarageFloorCoating.com,,,,,Tempe,AZ,4.9,0,50,
Garage Flooring 2Day,,,,,Tempe,AZ,5,0,50,
Epoxy Daddy LLC,,,,,Tempe,AZ,4.2,0,50,
E2U Corporate & Manufacturing,,,,,Tempe,AZ,4.7,0,50,
"Garage Floor in 24, LLC",,,,,Tempe,AZ,5,0,50,
Yezco Concrete Polishing,,,,,Tempe,AZ,4.4,0,50,
Mile Auto Repair,,,,,Tempe,AZ,4.8,0,50,
Gemba Automotive,,,,,Tempe,AZ,4.8,0,50,
Lifetime Automotive,,,,,Tempe,AZ,4.8,0,50,
Greulich's Automotive Repair,,,,,Tempe,AZ,4.7,0,50,
Meet Your Mechanic,,,,,Tempe,AZ,4.8,0,50,
Elite Auto Repair,,,,,Tempe,AZ,4.6,0,50,
Tri City Automotive Repair LLC,,,,,Tempe,AZ,4.5,0,50,
Half Price Auto Repair & Performance,,,,,Tempe,AZ,4.9,0,50,
Ly Auto Repair,,,,,Tempe,AZ,5,0,50,
Scottsdale Collision Center - Tempe Auto Body Shop & Collision Repair,,,,,Tempe,AZ,4.8,0,50,
First Choice Auto Body and Paint,,,,,Tempe,AZ,4.9,0,50,
Harvil Auto Body,,,,,Tempe,AZ,4.6,0,50,
We-Fix-It Auto Repair,,,,,Tempe,AZ,4.8,0,50,
All Town Auto Repair,,,,,Tempe,AZ,4.6,0,50,
Interstate Auto Repair,,,,,Tempe,AZ,4.9,0,50,
American Five Star Auto Repair & Transmission,,,,,Tempe,AZ,4.6,0,50,
Venus Manufacturing Co,,,,,Tempe,AZ,4.8,0,50,
JJ Warehouse Solutions,,,,,Tempe,AZ,4.7,0,50,
Home Improvement Warehouse,,,,,Tempe,AZ,4.7,0,50,
ASU Art Warehouse (ARWH),,,,,Tempe,AZ,5,0,50,
Tempe Mechanical Headquarters,,,,,Tempe,AZ,4.5,0,50,
AAA Tempe Auto Repair Center,,,,,Tempe,AZ,4.3,0,45,
Bill Luke Tempe Automotive Parts & Service,,,,,Tempe,AZ,4.4,0,45,
Maaco Auto Body Shop & Painting,,,,,Tempe,AZ,4.3,0,45,
Auto Body & Repair Shop Tempe,,,,,Tempe,AZ,4.1,0,45,
Precision Auto Body,,,,,Tempe,AZ,4.4,0,45,
Champion Homes Manufacturing Facility,,,,,Tempe,AZ,4,0,45,
Arizona Custom Blends Manufacturing,,,,,Tempe,AZ,4,0,45,
Tempe Mechanical,,,,,Tempe,AZ,4.1,0,45,
REI Distribution Center,,,,,Tempe,AZ,4.3,0,45,
Arizona Epoxy Systems,,,,,Tempe,AZ,3.4,0,40,
Concrete Polishing,,,,,Tempe,AZ,0,0,40,
Mesa Concrete Staining,,,,,Tempe,AZ,0,0,40,
"Concrete Finishing, Inc",,,,,Tempe,AZ,0,0,40,
Mobile Mechanic Pros Tempe,,,,,Tempe,AZ,3.9,0,40,
Mesa On-Site Truck Repair,,,,,Tempe,AZ,3.7,0,40,
Builderz Warehouse,,,,,Tempe,AZ,3.5,0,40,
Safeway Distribution Center,,,,,Tempe,AZ,3.5,0,40,
Galaxy Concrete Coatings of Phoenix,,,,,Tempe,AZ,4.9,0,35,
Techniquex,,,,,Tempe,AZ,4.7,0,35,
AZ Stain Concrete,,,,,Tempe,AZ,4.9,0,35,
Desert Polymer Flooring – Tempe,,,,,Tempe,AZ,5,0,35,
Cardinal Concrete Coatings of Phoenix,,,,,Tempe,AZ,4.9,0,35,
The Garage Floor Company Tempe,,,,,Tempe,AZ,0,0,35,
XPS Xpress Tempe,,,,,Tempe,AZ,5,0,35,
Eco-CorFlex Industrial Polymers,,,,,Tempe,AZ,5,0,35,
Quick Response Floor Coatings,,,,,Tempe,AZ,4.9,0,35,
E2U Store Phoenix,,,,,Tempe,AZ,5,0,35,
Barefoot Surfaces Concrete Floor Coatings,,,,,Tempe,AZ,4.9,0,35,
Best Floor Coatings,,,,,Tempe,AZ,5,0,35,
First Class Coatings,,,,,Tempe,AZ,4.9,0,35,
The Chip Floor Company LLC,,,,,Tempe,AZ,5,0,35,
Next Level Coatings,,,,,Tempe,AZ,5,0,35,
PolyXtreme Coatings,,,,,Tempe,AZ,5,0,35,
Cardinal Concrete Coatings,,,,,Tempe,AZ,4.8,0,35,
StoneCoat Floors AZ,,,,,Tempe,AZ,5,0,35,
Rock Star Coating Pros,,,,,Tempe,AZ,4.9,0,35,
Valley Concrete Coatings and Polishing,,,,,Tempe,AZ,4.5,0,35,
Legendary Concrete Tempe,,,,,Tempe,AZ,5,0,35,
Four Peaks,,,,,Tempe,AZ,5,0,35,
Baker's Travertine Power Clean,,,,,Tempe,AZ,4.9,0,35,
Royal Touch Concrete LLC,,,,,Tempe,AZ,5,0,35,
Papago concrete,,,,,Tempe,AZ,4.9,0,35,
Supreme Concrete Company,,,,,Tempe,AZ,4.9,0,35,
BC Coatings,,,,,Tempe,AZ,5,0,35,
Earthcraft Concrete,,,,,Tempe,AZ,5,0,35,
Beyond Stone Solutions,,,,,Tempe,AZ,5,0,35,
All-Cut Concrete Cutting,,,,,Tempe,AZ,5,0,35,
Apache Concrete Cutting Inc,,,,,Tempe,AZ,5,0,35,
Hometown Concrete,,,,,Tempe,AZ,4.7,0,35,
KP Concrete,,,,,Tempe,AZ,5,0,35,
Atlantic Concrete Coatings Inc,,,,,Tempe,AZ,4.8,0,35,
Clear Cut Concrete,,,,,Tempe,AZ,4.9,0,35,
Arizona Concrete Specialists,,,,,Tempe,AZ,5,0,35,
Casper's Concrete Contractors,,,,,Tempe,AZ,5,0,35,
Arizona Foundation Solutions LLC,,,,,Tempe,AZ,4.8,0,35,
Fresco Deck & Patio Coatings,,,,,Tempe,AZ,5,0,35,
Tennyson Foundation Repair,,,,,Tempe,AZ,4.8,0,35,
Scottsdale Concrete Contractors,,,,,Tempe,AZ,5,0,35,
East Valley Concrete,,,,,Tempe,AZ,4.9,0,35,
StrataLock USA - Foundation Repair - Phoenix (Headquarters),,,,,Tempe,AZ,5,0,35,
Dalinghaus Foundation Repair,,,,,Tempe,AZ,5,0,35,
Mobile Mix Concrete Delivery and Pumping,,,,,Tempe,AZ,4.6,0,35,
Setcrete Construction L.L.C.,,,,,Tempe,AZ,4.6,0,35,
Mesa Master Concrete,,,,,Tempe,AZ,5,0,35,
Top Line Constructions,,,,,Tempe,AZ,5,0,35,
"Maurer Sealing & Striping, Llc",,,,,Tempe,AZ,5,0,35,
"All Asphalt & Seal Coating, Inc.",,,,,Tempe,AZ,5,0,35,
SR Concrete & Masonry LLC,,,,,Tempe,AZ,5,0,35,
Selective Concrete,,,,,Tempe,AZ,5,0,35,
Stamped Concrete,,,,,Tempe,AZ,5,0,35,
Arizona Creative Surfaces,,,,,Tempe,AZ,4.7,0,35,
"V Stained Concrete, LLC",,,,,Tempe,AZ,5,0,35,
Sledge Concrete Coatings,,,,,Tempe,AZ,4.8,0,35,
BRIKS COATINGS & SANDBLASTING LLC,,,,,Tempe,AZ,5,0,35,
Pro-Strip Media Blasting & Powder Coating,,,,,Tempe,AZ,5,0,35,
American Soda Blasters,,,,,Tempe,AZ,4.7,0,35,
Ace Sandblasting,,,,,Tempe,AZ,4.9,0,35,
"Tempe Abrasives, Inc",,,,,Tempe,AZ,4.6,0,35,
Southwest Surface Blasting,,,,,Tempe,AZ,4.7,0,35,
ROYal Blasting Arizona,,,,,Tempe,AZ,5,0,35,
B&B Sandblasting & Industrial Finishes,,,,,Tempe,AZ,5,0,35,
Extreme Media Blasting,,,,,Tempe,AZ,5,0,35,
State 48 Mobile Blasting,,,,,Tempe,AZ,5,0,35,
AZ SANDBLASTING,,,,,Tempe,AZ,5,0,35,
"PRO Blast, LLC",,,,,Tempe,AZ,4.6,0,35,
Powder Coat It,,,,,Tempe,AZ,4.8,0,35,
SM Powder Coating & Sandblasting,,,,,Tempe,AZ,4.6,0,35,
FozWorks Powder Coating,,,,,Tempe,AZ,5,0,35,
Strip Your Ride Media Blasting,,,,,Tempe,AZ,4.6,0,35,
Amalfi Powder Coating Phoenix,,,,,Tempe,AZ,4.9,0,35,
Arizona Home Floors Dustless Tile Removal,,,,,Tempe,AZ,4.8,0,35,
DustRam Dust Free Tile Removal Services and Tools,,,,,Tempe,AZ,4.9,0,35,
Sun Devil Auto,,,,,Tempe,AZ,4.6,0,35,
The Car Shop,,,,,Tempe,AZ,4.8,0,35,
Midas,,,,,Tempe,AZ,4.5,0,35,
Yota Pros Llc,,,,,Tempe,AZ,4.8,0,35,
AJ's Auto Works Inc./SXS Extreme Rehab/GAK Trailer repair,,,,,Tempe,AZ,4.7,0,35,
AutoCrafters,,,,,Tempe,AZ,4.5,0,35,
Valley Auto Techs,,,,,Tempe,AZ,4.8,0,35,
