company,phone,email,website,address,city,state,rating,reviews,lead_score,tier
Columbus Epoxy Flooring Co.,(614) 555-2101,info@columbusepoxy.com,https://columbusepoxy.com,,Columbus,OH,4.8,77,95,
Ohio Garage Transformations,(614) 555-2303,quote@ohiogaragetransform.com,https://ohiogaragetransform.com,,Columbus,OH,4.9,98,90,
Arch City Decorative Concrete,(614) 555-2707,contact@archcityconcrete.com,https://archcityconcrete.com,,Columbus,OH,4.5,26,90,
Heartland Surface Prep,(614) 555-2404,bids@heartlandprep.com,https://heartlandprep.com,,Columbus,OH,4.5,34,88,
Olentangy Concrete Resurfacing,(614) 555-2808,service@olentangyconcrete.com,https://olentangyconcrete.com,,Columbus,OH,4.4,18,82,
Columbus Concrete Grinding & Sealing,(614) 555-3010,info@columbusgrinding.com,https://columbusgrinding.com,,Columbus,OH,4.3,15,82,
Buckeye Concrete & Polishing,(614) 555-2202,hello@buckeyeconcrete.com,https://buckeyeconcrete.com,,Columbus,OH,4.7,52,75,
Columbus Industrial Coatings LLC,(614) 555-2606,sales@columbusindustrial.com,https://columbusindustrial.com,,Columbus,OH,4.7,59,75,
Metro Metallic Floors Columbus,(614) 555-2909,quote@metrometallicfloors.com,https://metrometallicfloors.com,,Columbus,OH,4.8,66,75,
Capital City Floor Coatings,(614) 555-2505,info@capitalfloorcoatings.com,https://capitalfloorcoatings.com,,Columbus,OH,4.6,43,70,
Columbus Epoxy Flooring,,,,,Columbus,OH,5,0,55,
Columbus Garage Floor Coating,,,,,Columbus,OH,4.7,0,55,
Columbus Epoxy Floors,,,,,Columbus,OH,5,0,55,
"Showroom Floors Ltd, Epoxy Floors, Columbus, Oh",,,,,Columbus,OH,4.7,0,55,
Epoxy Flooring Columbus,,,,,Columbus,OH,5,0,55,
Epoxy and Polished Floors of Columbus,,,,,Columbus,OH,5,0,55,
Ideal Garage Floor Coatings,,,,,Columbus,OH,4.9,0,55,
Global Epoxy LLC,,,,,Columbus,OH,5,0,55,
Infinite Designs Epoxy Solutions of North Columbus,,,,,Columbus,OH,4.8,0,55,
Wyckoff Epoxy Flooring,,,,,Columbus,OH,5,0,55,
Elite Epoxy Coatings of Columbus,,,,,Columbus,OH,5,0,55,
"Concrete Finishing Solutions, LLC",,,,,Columbus,OH,5,0,55,
SBR Concrete Polishing INC.,,,,,Columbus,OH,4.6,0,55,
J&G Epoxy Coatings,,,,,Columbus,OH,5,0,55,
Epoxy Flooring Masters,,,,,Columbus,OH,5,0,55,
Spaulding's Epoxy Floor Coating,,,,,Columbus,OH,5,0,55,
Hitchcock Surface Prep,,,,,Columbus,OH,5,0,53,
Ohio Garage Interiors Columbus,,,,,Columbus,OH,5,0,50,
"Leaf Home Garage Flooring, LLC",,,,,Columbus,OH,4.8,0,50,
Garage Coating Pros,,,,,Columbus,OH,5,0,50,
Garage Force of Columbus NE,,,,,Columbus,OH,5,0,50,
GarageExperts of Columbus,,,,,Columbus,OH,4.6,0,50,
One Call Auto Mechanic,,,,,Columbus,OH,4.9,0,50,
All Hours Automotive Repair,,,,,Columbus,OH,4.8,0,50,
Avenue Auto Repair,,,,,Columbus,OH,4.7,0,50,
Luke's Auto Repair - Grandview,,,,,Columbus,OH,4.7,0,50,
Clintonville Automotive Repair Service,,,,,Columbus,OH,4.6,0,50,
Urban Auto Repairs,,,,,Columbus,OH,4.8,0,50,
Harolds Automotive,,,,,Columbus,OH,4.8,0,50,
Luke's Auto Repair - Upper Arlington,,,,,Columbus,OH,4.8,0,50,
Fine Line Auto Body Grandview / OSU,,,,,Columbus,OH,4.9,0,50,
Fine Line Auto Body Alum Creek,,,,,Columbus,OH,4.7,0,50,
Fine Line Auto Body at Twins Buick GMC,,,,,Columbus,OH,4.8,0,50,
Fine Line Auto Body North High,,,,,Columbus,OH,4.9,0,50,
Fine Line Auto Body-Lewis Center,,,,,Columbus,OH,4.8,0,50,
Car Pro Auto Body,,,,,Columbus,OH,4.9,0,50,
Big Boyz Mobile Truck Repair Service,,,,,Columbus,OH,4.5,0,50,
Semi Truck Repair Center & Parking,,,,,Columbus,OH,4.9,0,50,
Diesel Truck Repair Roadservice 24/7,,,,,Columbus,OH,4.5,0,50,
Elite Truck Mobile Diesel Mechanic,,,,,Columbus,OH,5,0,50,
CMH Truck Repair LLC,,,,,Columbus,OH,4.8,0,50,
Columbus Fleet Maintenance,,,,,Columbus,OH,5,0,50,
Dublin City Fleet Maintenance,,,,,Columbus,OH,4.5,0,50,
"Columbus Design & Manufacturing, LLC",,,,,Columbus,OH,5,0,50,
Appian Manufacturing Corporation,,,,,Columbus,OH,4.7,0,50,
Patrick Manufacturing,,,,,Columbus,OH,5,0,50,
Steel Warehouse Co Inc,,,,,Columbus,OH,5,0,50,
The Glass Block Warehouse,,,,,Columbus,OH,5,0,50,
No Hassle Auto Repair & Moblie Services,,,,,Columbus,OH,4.4,0,45,
Lopez Auto Repair,,,,,Columbus,OH,4.4,0,45,
Nick's Auto Repair,,,,,Columbus,OH,4.2,0,45,
Central Ohio Mobile Mechanic,,,,,Columbus,OH,4.4,0,45,
Columbus Truck Repair,,,,,Columbus,OH,4.3,0,45,
Wiers Fleet Service & Truck Repair Columbus,,,,,Columbus,OH,4.4,0,45,
GTW Manufacturing LLC,,,,,Columbus,OH,4,0,45,
Cardinal Health Distribution center,,,,,Columbus,OH,4,0,45,
Columbus Distribution Center Napa,,,,,Columbus,OH,4.4,0,45,
Trove Warehouse,,,,,Columbus,OH,4.4,0,45,
Epoxy Flooring,,,,,Columbus,OH,0,0,40,
"Universal Concrete Grinding, LLC",,,,,Columbus,OH,2.3,0,40,
Columbus Auto Repair,,,,,Columbus,OH,3.7,0,40,
